"Date","Temp"
"1982-01-01",17.0
"1982-01-02",15.0
"1982-01-03",13.5
"1982-01-04",15.2
"1982-01-05",13.0
"1982-01-06",12.5
"1982-01-07",14.1
"1982-01-08",14.8
"1982-01-09",16.2
"1982-01-10",15.8
"1982-01-11",19.1
"1982-01-12",22.2
"1982-01-13",15.9
"1982-01-14",13.0
"1982-01-15",14.1
"1982-01-16",15.8
"1982-01-17",24.0
"1982-01-18",18.0
"1982-01-19",19.7
"1982-01-20",25.2
"1982-01-21",20.5
"1982-01-22",19.3
"1982-01-23",15.8
"1982-01-24",17.0
"1982-01-25",18.4
"1982-01-26",13.3
"1982-01-27",14.6
"1982-01-28",12.5
"1982-01-29",17.0
"1982-01-30",17.1
"1982-01-31",14.0
"1982-02-01",14.6
"1982-02-02",13.3
"1982-02-03",14.8
"1982-02-04",15.1
"1982-02-05",13.1
"1982-02-06",13.6
"1982-02-07",19.5
"1982-02-08",22.7
"1982-02-09",17.2
"1982-02-10",13.5
"1982-02-11",15.4
"1982-02-12",17.0
"1982-02-13",19.2
"1982-02-14",22.8
"1982-02-15",26.3
"1982-02-16",18.2
"1982-02-17",17.0
"1982-02-18",14.8
"1982-02-19",12.8
"1982-02-20",15.5
"1982-02-21",15.6
"1982-02-22",13.1
"1982-02-23",15.2
"1982-02-24",14.1
"1982-02-25",12.5
"1982-02-26",14.6
"1982-02-27",10.4
"1982-02-28",13.9
"1982-03-01",11.9
"1982-03-02",13.5
"1982-03-03",9.8
"1982-03-04",14.0
"1982-03-05",21.5
"1982-03-06",19.5
"1982-03-07",16.7
"1982-03-08",19.1
"1982-03-09",11.0
"1982-03-10",9.0
"1982-03-11",10.0
"1982-03-12",14.6
"1982-03-13",12.5
"1982-03-14",17.2
"1982-03-15",19.2
"1982-03-16",22.2
"1982-03-17",15.7
"1982-03-18",14.2
"1982-03-19",9.8
"1982-03-20",14.0
"1982-03-21",17.5
"1982-03-22",20.7
"1982-03-23",15.6
"1982-03-24",13.2
"1982-03-25",14.5
"1982-03-26",16.8
"1982-03-27",17.2
"1982-03-28",13.4
"1982-03-29",14.2
"1982-03-30",14.3
"1982-03-31",10.2
"1982-04-01",10.4
"1982-04-02",12.3
"1982-04-03",11.9
"1982-04-04",11.2
"1982-04-05",8.5
"1982-04-06",12.0
"1982-04-07",12.4
"1982-04-08",12.9
"1982-04-09",10.1
"1982-04-10",15.0
"1982-04-11",13.6
"1982-04-12",12.4
"1982-04-13",13.6
"1982-04-14",16.1
"1982-04-15",19.5
"1982-04-16",14.2
"1982-04-17",9.3
"1982-04-18",10.1
"1982-04-19",7.4
"1982-04-20",8.6
"1982-04-21",7.8
"1982-04-22",9.1
"1982-04-23",13.0
"1982-04-24",16.5
"1982-04-25",12.9
"1982-04-26",6.9
"1982-04-27",6.9
"1982-04-28",8.7
"1982-04-29",10.0
"1982-04-30",10.8
"1982-05-01",7.5
"1982-05-02",6.3
"1982-05-03",11.9
"1982-05-04",13.8
"1982-05-05",11.8
"1982-05-06",11.0
"1982-05-07",10.1
"1982-05-08",8.5
"1982-05-09",5.5
"1982-05-10",7.6
"1982-05-11",8.7
"1982-05-12",10.8
"1982-05-13",11.2
"1982-05-14",9.1
"1982-05-15",3.7
"1982-05-16",4.6
"1982-05-17",6.6
"1982-05-18",13.2
"1982-05-19",15.2
"1982-05-20",7.6
"1982-05-21",8.4
"1982-05-22",6.0
"1982-05-23",8.3
"1982-05-24",8.6
"1982-05-25",11.1
"1982-05-26",12.1
